t,momentum,ratio,sm_momentum,sm_ratio,happens_within,occurs_within,cross_threshold_from_above,cross_threshold_from_below,trending_down_and_above,trending_up_and_below,troughs,zone,peaks
2025-01-17,-0.06727948805841297,0.28490770882811245,0.303623102306013,-0.21735981547735397,204,330,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-08-05,0.7667259456238504,0.2616365447349524,-0.7182897628476087,-0.46893005142032895,114,168,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-03-06,0.30532916114088576,0.3854313038649156,-0.14618962781734068,0.05639810529619004,77,58,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-11-01,0.36747841306181245,0.7549223442438242,-0.1393389359163017,-0.5320949380125607,15,18,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-01-17,0.37687674382830566,0.4792911838829375,-0.48715792771793165,-0.592815221163501,35,42,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,1.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2023-09-15,0.48459024093321423,0.5202102353164797,0.4599061676321261,0.4418881953960028,16,16,-0.18271221532091098,-0.19202898550724637,1.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-09-12,0.16855610008480815,-0.0054388739848923616,0.6517085139338509,0.39636166575901155,8,14,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-09-29,-0.6274802231155718,-0.682405540917791,-1.1042578708186417,-0.6817521011484962,185,310,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-07-05,0.47673692510843085,0.3315087305577957,-0.3507059164985753,0.2603536312640109,176,206,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2023-04-18,-0.09665325498293072,0.1255389327673046,-0.4292979335908472,-0.3498721956699741,158,258,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-09-16,0.5609769324384838,0.5263268417739024,0.7005682534335639,0.6197814420799831,9,18,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-06-14,0.2975395460789046,0.11643573600111717,0.26771251745841695,-0.008479147416036214,177,212,0.817287784679089,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2025-01-07,0.07953423202896466,0.33667600763607497,-0.9585252242004586,-0.5427342051739651,34,38,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,3.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-01-16,0.27598236557372224,0.34831208848093065,-0.5389492094574684,-0.5811084133854888,29,36,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,1.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-12-16,0.5574194490286686,0.8194636178416461,0.6396574518571381,0.8255353962294529,4,12,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-06-28,0.392603163276967,-0.07335240032748572,-0.5335854304382057,0.3363885208278923,3,8,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-12-03,-0.2086237475123155,-0.7046857008156562,-0.5164819836249668,0.25318208529719105,15,18,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,1.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-09-30,-0.5149646712338959,-0.27366683486814714,-0.03756515640317826,0.44869942442793986,14,16,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-08-29,-0.257187329741992,-0.3725208163966439,0.6758979414148572,0.37999946204768525,245,286,0.817287784679089,-0.19202898550724637,1.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-05-30,-0.2701083364039484,-0.385643750864319,-0.14815845837060926,-0.5521682363311955,17,30,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-11-14,0.3201502002034569,0.710348539493521,0.658339539831013,0.7813360652962081,16,30,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-12-18,-0.08656237018839871,-0.48854730968961757,0.2341700194030425,0.3718461391195106,20,20,-0.18271221532091098,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-10-17,0.599190078540526,0.3044796807333015,-0.5580171653590633,-0.47545573770753546,224,252,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,1.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2023-04-05,-0.5626120804265474,-0.041616582602439264,-0.27661276720490124,-0.18526156174502129,4,4,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-07-17,-0.924147139428501,-0.8164715862095225,0.044137791556965886,0.40284153808611783,70,82,-0.18271221532091098,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,0.8742236024844721
2023-09-25,-0.2635123553579309,0.054352104518522,-0.49844448001933894,0.1071298719389483,162,264,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-10-06,0.021407833108016094,-0.47747483236659727,0.30906532824547445,-0.30282400054681025,333,504,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
