time,Open,High,Low,Close,Label
1988-12-01,0.0,0.35,0.33,0.35,N
1988-12-02,0.0,0.36,0.34,0.35,N
1988-12-05,0.0,0.36,0.35,0.35,N
1988-12-06,0.0,0.35,0.35,0.35,N
1988-12-07,0.0,0.35,0.35,0.35,N
1988-12-08,0.0,0.35,0.35,0.35,N
1988-12-09,0.0,0.35,0.35,0.35,N
1988-12-12,0.0,0.35,0.34,0.34,N
1988-12-13,0.0,0.35,0.34,0.35,N
1988-12-14,0.0,0.36,0.34,0.35,N
1988-12-15,0.0,0.36,0.35,0.35,N
1988-12-16,0.0,0.36,0.35,0.36,N
1988-12-19,0.0,0.37,0.36,0.36,N
1988-12-20,0.0,0.37,0.36,0.37,N
1988-12-21,0.0,0.38,0.37,0.37,N
1988-12-22,0.0,0.38,0.36,0.37,N
1988-12-23,0.0,0.37,0.37,0.37,N
1988-12-27,0.0,0.37,0.36,0.36,N
1988-12-28,0.0,0.36,0.35,0.36,N
1988-12-29,0.0,0.36,0.36,0.36,N
1988-12-30,0.0,0.37,0.36,0.36,N
1989-01-03,0.0,0.36,0.36,0.36,N
1989-01-04,0.0,0.38,0.36,0.38,N
1989-01-05,0.0,0.39,0.37,0.38,N
1989-01-06,0.0,0.39,0.38,0.38,N
1989-01-09,0.0,0.39,0.38,0.38,N
1989-01-10,0.0,0.38,0.37,0.38,N
1989-01-11,0.0,0.38,0.37,0.38,N
1989-01-12,0.0,0.38,0.38,0.38,N
1989-01-13,0.0,0.39,0.38,0.39,R
1989-01-16,0.0,0.39,0.38,0.39,N
1989-01-17,0.0,0.39,0.36,0.36,N
1989-01-18,0.0,0.37,0.35,0.35,N
1989-01-19,0.0,0.37,0.36,0.36,N
1989-01-20,0.0,0.37,0.36,0.37,N
1989-01-23,0.0,0.37,0.36,0.37,N
1989-01-24,0.0,0.37,0.36,0.37,N
1989-01-25,0.0,0.38,0.37,0.37,N
1989-01-26,0.0,0.38,0.36,0.37,N
1989-01-27,0.0,0.35,0.32,0.34,N
1989-01-30,0.0,0.34,0.33,0.33,N
1989-01-31,0.0,0.34,0.33,0.34,N
1989-02-01,0.0,0.35,0.33,0.35,N
1989-02-02,0.0,0.36,0.35,0.35,N
1989-02-03,0.0,0.36,0.35,0.35,N
1989-02-06,0.0,0.35,0.34,0.34,N
1989-02-07,0.0,0.35,0.34,0.35,N
1989-02-08,0.0,0.35,0.34,0.34,N
1989-02-09,0.0,0.35,0.34,0.34,N
1989-02-10,0.0,0.34,0.33,0.33,N
1989-02-13,0.0,0.33,0.33,0.33,N
1989-02-14,0.0,0.33,0.31,0.32,N
1989-02-15,0.0,0.32,0.32,0.32,N
1989-02-16,0.0,0.33,0.32,0.32,N
1989-02-17,0.0,0.33,0.32,0.33,N
1989-02-21,0.0,0.34,0.33,0.33,N
1989-02-22,0.0,0.33,0.33,0.33,N
1989-02-23,0.0,0.33,0.32,0.33,N
1989-02-24,0.0,0.33,0.32,0.32,N
1989-02-27,0.0,0.33,0.32,0.33,N
1989-02-28,0.0,0.33,0.32,0.32,N
1989-03-01,0.0,0.33,0.32,0.32,N
1989-03-02,0.0,0.32,0.31,0.31,N
1989-03-03,0.0,0.31,0.3,0.31,N
1989-03-06,0.0,0.32,0.31,0.32,N
1989-03-07,0.0,0.32,0.31,0.32,N
1989-03-08,0.0,0.32,0.31,0.31,N
1989-03-09,0.0,0.32,0.31,0.31,N
1989-03-10,0.0,0.31,0.31,0.31,N
1989-03-13,0.0,0.32,0.31,0.31,N
1989-03-14,0.0,0.32,0.31,0.31,N
1989-03-15,0.0,0.32,0.31,0.31,N
1989-03-16,0.0,0.32,0.31,0.31,N
1989-03-17,0.0,0.32,0.3,0.31,N
1989-03-20,0.0,0.31,0.31,0.31,N
1989-03-21,0.0,0.32,0.31,0.31,N
1989-03-22,0.0,0.31,0.3,0.3,R
1989-03-23,0.0,0.31,0.3,0.31,N
1989-03-27,0.0,0.31,0.3,0.3,N
1989-03-28,0.0,0.31,0.3,0.3,N
1989-03-29,0.0,0.31,0.3,0.31,N
1989-03-30,0.0,0.31,0.3,0.31,N
1989-03-31,0.0,0.32,0.31,0.32,N
1989-04-03,0.0,0.32,0.31,0.31,N
1989-04-04,0.0,0.31,0.3,0.31,N
1989-04-05,0.0,0.31,0.31,0.31,N
1989-04-06,0.0,0.32,0.31,0.32,N
1989-04-07,0.0,0.33,0.32,0.33,N
1989-04-10,0.0,0.34,0.33,0.33,N
1989-04-11,0.0,0.34,0.33,0.34,N
1989-04-12,0.0,0.35,0.34,0.34,N
1989-04-13,0.0,0.35,0.34,0.34,N
1989-04-14,0.0,0.35,0.34,0.35,N
1989-04-17,0.0,0.35,0.34,0.35,N
1989-04-18,0.0,0.36,0.35,0.36,N
1989-04-19,0.0,0.37,0.35,0.36,N
1989-04-20,0.0,0.37,0.36,0.36,N
1989-04-21,0.0,0.36,0.35,0.36,N
1989-04-24,0.0,0.36,0.35,0.36,N
1989-04-25,0.0,0.36,0.35,0.36,N
1989-04-26,0.0,0.36,0.35,0.35,N
1989-04-27,0.0,0.36,0.35,0.35,N
1989-04-28,0.0,0.35,0.34,0.35,N
1989-05-01,0.0,0.35,0.34,0.35,N
1989-05-02,0.0,0.36,0.35,0.36,N
1989-05-03,0.0,0.36,0.35,0.36,N
1989-05-04,0.0,0.37,0.36,0.37,N
1989-05-05,0.0,0.38,0.37,0.37,N
1989-05-08,0.0,0.38,0.37,0.38,N
1989-05-09,0.0,0.38,0.38,0.38,N
1989-05-10,0.0,0.39,0.38,0.39,N
1989-05-11,0.0,0.4,0.38,0.39,N
1989-05-12,0.0,0.4,0.39,0.4,N
1989-05-15,0.0,0.41,0.4,0.41,N
1989-05-16,0.0,0.41,0.4,0.41,N
1989-05-17,0.0,0.41,0.4,0.4,N
1989-05-18,0.0,0.41,0.4,0.4,N
1989-05-19,0.0,0.41,0.4,0.41,N
1989-05-22,0.0,0.41,0.4,0.41,N
1989-05-23,0.0,0.41,0.4,0.41,N
1989-05-24,0.0,0.43,0.4,0.43,N
1989-05-25,0.0,0.44,0.42,0.43,N
1989-05-26,0.0,0.44,0.43,0.43,N
1989-05-30,0.0,0.44,0.42,0.42,N
1989-05-31,0.0,0.43,0.42,0.43,N
1989-06-01,0.0,0.44,0.42,0.44,N
1989-06-02,0.0,0.44,0.43,0.44,R
1989-06-05,0.0,0.44,0.42,0.42,N
1989-06-06,0.0,0.42,0.41,0.42,N
1989-06-07,0.0,0.43,0.42,0.43,N
1989-06-08,0.0,0.44,0.42,0.43,N
1989-06-09,0.0,0.43,0.42,0.42,N
1989-06-12,0.0,0.43,0.41,0.42,N
1989-06-13,0.0,0.44,0.42,0.43,N
1989-06-14,0.0,0.45,0.43,0.44,N
1989-06-15,0.0,0.44,0.42,0.42,N
1989-06-16,0.0,0.41,0.39,0.4,N
1989-06-19,0.0,0.4,0.39,0.39,N
1989-06-20,0.0,0.39,0.38,0.38,N
1989-06-21,0.0,0.39,0.38,0.38,N
1989-06-22,0.0,0.39,0.38,0.39,N
1989-06-23,0.0,0.4,0.39,0.39,N
1989-06-26,0.0,0.39,0.39,0.39,N
1989-06-27,0.0,0.4,0.38,0.38,N
1989-06-28,0.0,0.38,0.37,0.37,N
